"","movie","point","review"
"207","우리들의 행복한 시간","10","너무 슬퍼요ㅠ눈물이 멈추지를 않아요가장 슬픈 건 죽는게 아니라 내가 죽었을 때 슬퍼해줄 사람이 있다는 거 같애요ㅠㅠㅠ "
"208","더 킹","10","아... 최두일이 진짜다. "
"209","다만 악에서 구하소서","10","정말 별기대안하고 봤는데 시작하는순간부터 끝나는순간까지 눈을 한번도 다른곳으로 돌릴수가 없었다. 정말 몰입력최고 스토리최고 완전 재밌게 잘봤어요. 그리고 박정민 최고!!! 의외의 캐릭터로 나오는데 정말 놀랬어요! 그리고 기억에 많이 남네요! 최고!!! 그리고 감독판으로 꼭 다시 나왔으면 좋겠어요~~!!! "
"210","강철비2: 정상회담","2","친북반미 문통홍보 저급 영화네,,김정은을 스마트한 놈으로 만들고,, 적당히 좀 합시다 "
"211","우리 손자 베스트","6","명계남과 똑같은 못생긴 배우가 나와서 중간에 꺼버렸다 "
"212","드리프트","10","자비에르 사무엘 매력있어 서핑 전문가답다 "
"213","다만 악에서 구하소서","4","연기는 좋았다 역시 명배우들이었다 액션도 나쁘진않은데... 우리나라는 제발 그래도 이런액션은 버리자.. 쓸데없는 서든어택 찍고 되도안되는 스토리구성은 진짜 보다 나오고싶었을정도니까.. 심장 두번에 수류탄에 왜안OOO데ㅋㅋ "
"214","팡파레","10","골때리는 영화네 겁나게 신선한건 인정!! "
"215","강철비2: 정상회담","1","최악이다 정치선전 영화라고 밖에 안보임. 왜 이게 별점 8점대인지 이해가 안가네.. 내돈 ㅠㅠ "
"216","강철비2: 정상회담","1","좌 파 영 화 입 니 다... "
"217","다만 악에서 구하소서","10","막판에 오열했는데ㅠㅠ근래 본 영화중 잴 재밌음반도를 왜 봤으까나 ㅡㅡ "
"218","강철비2: 정상회담","1","전연령이 평균 8점 준 강철비 화이팅 "
"219","트랜짓","8","색다른 접근 잘 봤습니다. "
"220","다만 악에서 구하소서","10",""
"221","다만 악에서 구하소서","4","코믹영화인가? 정체를알수없는영화.. "
"222","강철비2: 정상회담","10",""
"223","온다","6","잘하면 일본판 곡성, 유전이 될 수 있었는데... 퇴마사들은 조연으로 한정시키고 초반 주인공 부부에 집중했어야 했음; 후반부에 퇴마사들 이야기 얽히고 스케일 커지면서 산으로 감 "
"224","다만 악에서 구하소서","1","나만 죽을수없다는 평점들이네 많이들보고 돈버리세요 ㅋㅋ "
"225","불량한 가족","2","초롱님의 팬이라서 보게 되었는데 기대했던 것보다는 아쉬웠습니다.공감을 이끌어내는 게 이 영화의 목표였던 것 같은데 영화 중간중간의 어색한 대사나 상황들에 공감하기엔 어려움이 많았어요. 이 영화에 출연한 배우분들의 팬이라면 한번쯤은 시간 내서 볼만하지만 아니라면 별로 추천드리고 싶진 않네요.. 그래도 팬이기에 초롱님의 연기 도전을 응원합니다. ㅎㅎ "
"226","반도","6",""
"227","카트","10","디오 연기 왤케 잘해.. "
"228","다만 악에서 구하소서","5","액션 영화가 이렇게 지루할 수 있다는걸 알려 준 영화. 스토리와 개연성은 어디다 말아먹었는지... 그리고 마지막 신파는 또 뭔지 "
"229","다만 악에서 구하소서","9","역시 황정민X이정재~~ 박정민까지!! 연기 일품이네요.다만, 스토리가 너무 예상이 되는 스토리이고...신세계 느낌의 포스를 기대했는데, 살짝 아쉬웠어요!!신세계에 아저씨 영화 합친 느낌이예요 ㅋ "
"230","다만 악에서 구하소서","8","감독이 재미있는영화를 많이 하셨네요ㅎ엄청 재미있다 이런건 아니였습니다 그러나 몰입은 머 시간가는지 모르고 봤네요! 아저씨느낌이 확 와닿았습니다 액션은 타격감 좋습니다 다시 보라고 해도 더 볼수있는 영화인거 같습니다^^ "
"231","다만 악에서 구하소서","6","아저씨 원빈 내용이랑 스토리가 너무 똑같다... 지루했어요 "
"232","반도","10",""
"233","다크 나이트","10","조커 연기..ㄷㄷㄷㄷ "
"234","다만 악에서 구하소서","1","누가 나한테 추천했냐.. "
"235","강철비2: 정상회담","1","정치색이 가득한데 재미도 없음. 강철비1은 여러번 봤는데 강철비2는 보면서도 시간아까웠고 두번은 볼 일이 없겠네요 "
"236","콜 미 바이 유어 네임","10","먹먹한 느낌,, 내가 방금 이별한 것 같은 착각.. "
"237","강철비2: 정상회담","1","서프라이즈 보다 못한 영화잠수함 전투씬은 볼만했음 "
"238","강철비2: 정상회담","1","최악이다.;; "
"239","다만 악에서 구하소서","10","진짜 연기하난 죽이네 아주 그리고 스토리 빈약한건 맞긴함. 그래도 배우들 연기도 지리고 극중 긴장감 자체가 높아서거보면 보는동안은 빈약하다고 안느껴짐 "
"240","다만 악에서 구하소서","10","최근 넘쳐나는 수준미달 스토리 연기+어설픈 신파+집권정부에 편향된 이상한 정치색으로 떡칠한 영화중에 돋보이는 정말 영화다운 영화. 오랜만에 재미있는 영화를 보았음 박정민의 연기 변신 주목. "
"241","다만 악에서 구하소서","2","댓글 알바들 썼나 개노잼ㅡㅡ "
"242","다만 악에서 구하소서","10","역시 황정민이다 라는 말밖에안나오네요! "
"243","강철비2: 정상회담","1","정우성 씨발~ 지푸라기도 잡고싶은 도 그렇고 OO은 영화만 찍고 돈만 챙기고 씨발 난민 드립에 OOO 비호감 이 영화 웬만하면 보려했는데 OO 평점이 리뷰 댓글이 와 씨발 정말 최악이다! 볼수가 없다! 감독 씨발 솔직히 전편 괜춘했잖아 ! 아 OO 답답하네 "
"244","정도","10","헨리 연기 잘해서 놀랐음. 스케일은 극장에서 볼 수준인데 집에서 보니 안타깝네요. 스토리가 탄탄한 것 같지 않지만 게임을 영화화 한 거라니 나쁘진 않은것 같고, 지루할 틈 없이 순식간에 전개됨..1편만으로는 아쉽고 2편이 나왔으면 좋을듯요~그리고 OST 너무 좋아요~ "
"245","반도","2","염력보단 나아요... "
"246","007 어나더 데이","3","아니 평점 낮은 이유가 우리나라에 빨갱이 많아서 그렇다는 저질아들은 뭐냐? 아니 평점 낮은 이유가 한국어 엉망이라 몰입이 잘 안돼고 물소니, 거대한 마이애미급 파도 같은 설정이 한국과 전혀 맞지 않아서 그런거지. 북한 나쁘게 나와서 그렇다고 생각하는 애들 OO극혐이다 진짜로 "
"247","헬로우 고스트","10",""
"248","에이 아이","10","띵작ㅠㅠ울고 싶으면 이 영화를 보면 된다 "
"249","미래의 미라이","2","그냥 긴말안하면 제목이 미래의 미라이일 필요가 있었나 싶어요....실망.. "
"250","브로큰 애로우","10","평점너무낮네 이토록 완벽하게 짧고 굵게 즐길수있는 영화도 없는대 "
"251","다만 악에서 구하소서","10","진짜 재밌다 내믿고 봐라 "
"252","다만 악에서 구하소서","10","죽이네요b 사람 많이 죽이네요~ㅋㅋ 이정재 연기 오지고요 박정민 너무 이쁘네요 안보는 사람 없이 다 봤으면 좋겠어요 "
"253","미녀는 괴로워","10","내 삶에 용기를 주는 영화 "
"254","다만 악에서 구하소서","10","이정재 지리고 박정민 오진다.... "
"255","천문: 하늘에 묻는다","8","아쉬운 부분이 없는 건 아니지만 아쉬운 부분을 커버할 수 있을 정도의 장점들이 많은 작품들입니다. 정말 한석규의 세종 연기는... 혹시 집에서 보실 생각이 있는 분들은 한 번 보셔도 후회 없을 것 같네요. 원래 리뷰 잘 안남기는데....정말 bb "
"256","다만 악에서 구하소서","10","지루하지 않고 재미 있었음 "
"257","다만 악에서 구하소서","10","국내 하드보일드무비 원탑 "
"258","다만 악에서 구하소서","10","하... 정말...  제발... 꼭!!!보세요ㅠㅠ "
"259","다만 악에서 구하소서","10","존잼이다. 황정민 역시는 역시.. 액션,연기 너무 멋있다. 박정민은 너무 충격적이라 첨엔 웃겼지만 연기에 스며들어가 그 모습 그대로 보게됨 이정재도 액션 연기 손색없이 캐릭터에 빙의함 "
"260","다만 악에서 구하소서","1","음... 정말 스토리도 모르겠고 배우자들 연기만 좋았던 것 같아요 싸우다가 끝나고 눈물에 약한데 감동 포인트에서 눈물이 아니라 하품이 나왔어요.. "
"261","초속5센티미터","9","만남이 있는 이유....... .이별이 있기 때문에 "
"262","다만 악에서 구하소서","1","개연성 없는 영화 Jot나 극혐인데, 딱 그런 영화. "
"263","싸움의 기술 2","1","ㅋㅎㅋㅎ어설퍼서 계속 웃었네ㅋㅋ시간떼우기 좋네 "
"264","다만 악에서 구하소서","10","한국영화의 엄청난 진화를 보여줬다. 코로나때문에 해외에 못나가는데 영화로나마 해외에 있는듯한 기분이고 황정민 이정재 박정민 연기 정말 .... 대박입니다. 스토리 뻔한 해피엔딩 아니고 신파없어서 좋고 너무 잔인하지 않아서 좋고  관객들에게 판단을 맡기는 듯한  영상 참 좋았습니다. 액션또한 타격감 높은 영상미 한국영화에서 전엔 볼 수 없던 기술입니다. 긴장감 높이는 음악들. 여튼 모두다 최고였습니다. 감독님이 누군지 다시 찾아보게 되는 영화였어요. 꼭 보세요. 이영화는 소리가 주는 집중도도 좋아서 집보다는 영화관에서 봐야해요. "
"265","다만 악에서 구하소서","10","독전이후로 확 땡기는 영화 정재씨눈빛액션스타일너무멋짐 "
"266","다만 악에서 구하소서","9","그나마 반도랑 강철비2보다 낫네요.. 배우들 연기랑 액션은 통쾌하고 눈을 땔수가없지만 스토리는 너무 뻔하고 식상.. 그냥 스토리 딱히 생각하지않고 배우들 연기로 눈호강 하고싶은 분은 보셔도 될꺼같아요. 영화 끝나고 딱히 남는 감정도 없으니 가볍게 보면 될꼬같음 "
"267","강철비2: 정상회담","10","평점이 왜캐 낮게 나오는지 .스토리 탄탄하고  현재 우리나라 상황이네요평화협정/ 중.일.미  눈치보지 않는  통일  ...국민이  만들어야합니다. 감동~ "
"268","클래식","10","볼때마다 울게 만드는 영화. "
"269","다만 악에서 구하소서","7","이정재 GD 같다는 리뷰 알바썼다고 생각했는데, 보고 나면 이해 됨! 레알 관람객 평 맞는 듯스토리 빼고 연기만 보면 다음 날까지 생생할 정도로 기가 막히는데 그 중 박정민 연기 계속 생각나 미치겠음 "
"270","마녀 배달부 키키","10","완전 좋아요 ㅠㅠ 내가 키키 키운 느낌 대견해 죽겠다 "
"271","#살아있다","5","유아인 잘생겼다 박신혜 이쁘다 좀비 신기하다 짜파게티 맛있겠다 영화요약끝! "
"272","다만 악에서 구하소서","10","오랜만에 본 영환데 액션, 명연기, 연출 모두 좋았어요. 역시 믿고 보는 황정민, 이정재 그리고 박정민 ㅎ 압권입니다~ "
"273","다만 악에서 구하소서","1","박정민 여장만 재밋음 개노잼 "
"274","무간도","10","무간도 꼭 보세요무료라고 하니 정말 좋은 영화입니다우리나라 신세계도 이영화를 만히 따라했죠그런고는 모티브 이런말은 쌩~ "
"275","강철비2: 정상회담","9","스토리랑 연출 액션이 돋보였고 배우들 연기가 반은 먹고 들어감 "
"276","반도","7","그냥저냥 볼만함! "
"277","다만 악에서 구하소서","10","전혀 평범하지 않았고 역시 국내 탑급 배우들이 나와서 재밌게 보다 갑니다 "
"278","다이 하드 2","10","성인판 나홀로집에다. 수많은 경찰이 있지만 맥클라인아저씨만 경찰역할을 하는 공항편 나홀로집에. 고드름의 위험성을 깨닫고 간다. ㅋㅋㅋㅋ 크리스마스 액션 뿌시고 터뜨리고 잼있다. "
"279","다만 악에서 구하소서","6","베댓대로 ㄹㅇ 이정재 지디 박정민 연기 놀라움 황정민...ㅎ... ㅎ ㅏ... 연출 조커 짭느낌 스토리 아저씨 짭느낌 액션 기대했으나 걍 존윅 재탕이 나음 요새볼만한 영화가 없는건 맞는데 이 영화도 영... "
"280","굿 다이노","10","이런 명작을 넷플로 이제야 봤네요 시간 가는 줄 모르고 재밌게 잘 봤어요 "
"281","다만 악에서 구하소서","9","어느정도 스릴 있고  제목은 종교적이지만  종교와 무관하며 이정재님 목 타투가 너무 예뻤고  첫 장면에서 스타일이 너무 좋았어여.. 여장남자분 ㅡㅋ. 이름이. 갑자기. 생각이. 안나네용 ㅎ. 연기. 잘. 하시더라고용. 재밌게 봤습니당 ㅎ 주제와 내용은 연결고리가 없지만. 볼땐 재밌고 보고나서는.... 아무튼 코로나시국에. 개봉된게. 안타깝네영 ㅜㅜ "
"282","다만 악에서 구하소서","1","폭력적. 남성 감독의 시선에서 제작된 영화. 피해자는 전부 여성. 시대의 흐름 좀 읽어주시길 "
"283","다만 악에서 구하소서","10","배우들의 명품연기짱 재미잏ㅇㆍㄱㅎㅇ음 "
"284","다만 악에서 구하소서","10","박정민 연기 엄청 잘하네요^^재밌게 보았어용! "
"285","다만 악에서 구하소서","10","이장재 황정민 액션이 좋다 "
"286","순수의 시대","10","강한나 노출씬 나온대서 봤는데 보다보니 영화 넘 재밌네요.평점보니 이해가 안될정도로 영화 재밌네요.진짜 영화 평점 믿을거 못됨. "
"287","엽기적인 그녀","10",""
"288","다만 악에서 구하소서","1","스토리 최악 배우빨 액션 말고는 최악인 이 망작이 도대체 왜 9점대지..? 댓글 알바들 화력 대단하네 ㄷㄷ "
"289","덩케르크","10",""
"290","다만 악에서 구하소서","9","이정재 목소리톤 최고로 독보적인거같아서 감탄하고황정민은 역시 믿고보고 박정민의 또 다른모습에 놀랬다 "
"291","봉오동 전투","10","보면서 정말 가슴이 뜨거워 지고 또 눈물도 나는 그런 영화였습니다. 이 영화가 있었기에 그 때 당시에 상황을 더 생생히 느낄 수 있었어요 정말 잘 봤습니다! "
"292","다만 악에서 구하소서","9","딸을 사랑하는 황정민씨 연기때문에 펑펑 울었습니다. 피와 칼부림이 난무하는 잔혹장면 투성임에도 이렇게 마음아파도 되나요? 박정민 때문에 재밌었고 이정재..이렇게 징글징글 뱀쉬키였나 싶음. 암튼 강추! "
"293","강철비2: 정상회담","10","알바 아닙니다.KT포인트로 공짜로 보기는 했으나영화 내용을 이해하고 보면 정말 재밌습니다.개연성 없다고 하시는 분은...아마 가케무샤나 독도작전의 의미를.. 이해 못하셔서 그런듯요?저도 볼때 헷갈리더라구요^^;;근데 스토리 안에서 현재 국가들이 취하고 있는 정치적인 입장을 다 보여주고 있습니다.다만 10대 20대 친구들은 이해가 어려울수도 있습니다.상업영화다 액션이다 하지만..그 안에 정말 많은 정치적 함의를 담고 있어서저는 난폭한 느와르 보다는 훨씸 재밌게 봤습니다사실 폭력적인 영화는 안보거든요.그리고 잠수함에서 싸우는 씬은 맘이 아팠네요.. 현재 한반도의 우리 모습이 잠수함에서 일어나고 있는듯해서마지막에 우리 국민에게 던지는 메세지도 정말 좋았습니다^^저는 강철비2 보고 바로 강철비1도 네이버에서 봤어요~아 그리고 음악감독 누구신지 몰라도..음악 넘 좋습니다^^즐감했습니다~ 감사합니다^^ "
"294","다만 악에서 구하소서","8","내용이야 뭐 근데연기는  진짜 좋았어요이정재님 나올때마다 상어나타나는느낌...ㅠㅠ박정민님은 진짜 ㅋㅋㅋㅋ 연기짱이었습니다황정민님도용 "
"295","반도","4","아쉽다 부산행을 따라가진 못함 "
"296","다만 악에서 구하소서","10","오랜만에 다방면에서 흥미로운 영화였습니다! "
"297","다만 악에서 구하소서","7","이정재 캐릭터를 끝까지 모르겠다 그냥 쾌락 킬러인데 이정재가 멋있게 대사쳐서 또라이처럼 안보이는 건가 마지막 대사칠땐 그냥 가오가 뇌를 지배한 캐릭터구나 싶었다 "
"298","다만 악에서 구하소서","10","이제 영화에서 감독들 이정재 등장씬은 부담될듯 백정 등장씬 존멋ㅌㅋㅋ케~ "
"299","광해, 왕이 된 남자","10",""
"300","다만 악에서 구하소서","3","나 초능력 있는듯. 영화 결말을 보기도 전에 알아버림 "
"301","다만 악에서 구하소서","10","개재밌음. 역시 믿고보는 황정민 , 이정재인가 봄. 스토리도 지루하지 않고 우리나라 액션적인 부분 영화가 좀 수준이 올라간 느낌이었음.특히 박정민의 여자 연기는 인상 깊었음. "
"302","시동","8","기대안하고 보면 재밌어요 "
"303","퍼펙트맨","1","조폭영화 좀 그만 나왔으면 싶다... 조진웅 설경구 연기가 볼만해서 끝까지 봤지 극장에서 봤으면 표값 아까울 뻔 했다 "
"304","다만 악에서 구하소서","10","지금까지 볼수없었던 기똥찬 느와르 액션 정말 압권이었다..몰입감 작살... 중간 황정민과 딸 장면에서 조금 오글거림 있었지만.. 영화는 정말 수작이다..황해 신세계 등을 잼있게 본 사람에겐  강추 "
"305","애프터 웨딩 인 뉴욕","10",""
"306","강철비2: 정상회담","10","후반부로 갈수록 재미있고 감동적이었어요. 잠수함 씬들 몰입감 넘쳐서 집중이 잘되더라구요. "
"307","강철비2: 정상회담","10","우리의 소원은 통일을 원하십니까? "
"308","다크 워터스","10","실화라는게 안 믿긴다...  내 몸에도 있겠지, 테프론;;; "
"309","다만 악에서 구하소서","10","와우 너무 재밌어요 ㅋㅋ 간만에 돈과 시간이 아깝지 않네요ㅋ "
"310","시월애","10","이 영화를 왜 이제서야 봤을까 후회가 될 정도로 최고였던 영화 "
"311","어게인","1","정말 어이가 없어서 웃음이 나는 영화예요저도 포스터에 속아서 사기 당했네요 ^^ 정체불명. 말고는 설명할수없어요 "
"312","다만 악에서 구하소서","9",""
"313","다만 악에서 구하소서","10","간만에 취저 영화!!|ㅋㅋ "
"314","강철비","10","영화진짜 잘 만들었네... "
"315","강철비2: 정상회담","2","진짜노잼 국정홍보영화인줄 "
"316","다만 악에서 구하소서","10","아 화장실가고싶어 죽는지 알았네재밋음ㅋㅋ "
"317","다만 악에서 구하소서","6","아저씨 2(늙은 아저씨 둘) 보는 느낌. 액션 영상미는 좋음. 다만 이정재 목소리가 조금 반복되는 느낌(영화 '신과 함께',  '관상'에서의 목소리가 자꾸 생각남) "
"318","애니멀 크래커","10","세가족이 같이 봤는데...재밌어요 ^^ "
"319","다만 악에서 구하소서","8","개월만에 영화 봤다 영화는 이런거다 "
"320","#살아있다","8","영화 반도보다 괜찮아요~ "
"321","#살아있다","8","영화 반도보다 괜찮아요~ "
"322","다만 악에서 구하소서","10","왜들 박정민 박정민 하는지 ㅋㅋㅋ 알있다 드뎌 "
"323","다만 악에서 구하소서","10","진짜 과장 1도 안보태고 이게 우리나라 영환지 할리우드 영환지 고민하게 한 액션 "
"324","다만 악에서 구하소서","10","시간 가는줄 모르고 와..하면서 봄. 만드느라 고생 진짜 많이 했을듯. 최고야 짜릿해 "
"325","팡파레","7","백선생이 갑자기 따귀 때리는거 개웃겨 ㅎㅎ "
"326","다만 악에서 구하소서","9","스토리는 뻔하나  시간 후딱감 액션좋음 그런데 15세 관람이상 액션인데  ? "
"327","다만 악에서 구하소서","9","잔인하고 액션씬 볼만해요 박정민배우 연기 인상적^^ "
"328","B급 며느리","10","기대를 많이 하고 본 영화인데 영화를 보자마자 너무나도 공감이 되는 많은 이야기가 아직도 기억에 많이 남아있습니다. 어쩌면 우리 엄마의 세대 이야기, 아니면 어른이 되어가는 10대 세대의이야기 일수 있는  이야기를 담은 영화는 많이 추천 합니다. 너무나도 감명깊게 봤고, 우리 모두 B급 며느리가 되보아요^^ "
"329","침입자","8","스릴있게 잘 봤어요 저는..괜찮은데요..? "
"330","용쟁호투","9","그 당시 코팅 책받침 모델은 여배우들만 있는 것 은 아니었다~! "
"331","다만 악에서 구하소서","10","이정재 배우님이 다했음... 근데 박정민 배우님도 다 한 느낌적인 느낌?ㅋㅋㅋ "
"332","다만 악에서 구하소서","2","액션만 있고 줄거리는 하나도없음액션도 지루하고 뻔함황정민 박정민 연기덕에 살았음 "
"333","다만 악에서 구하소서","4","나를 악에서 구하소서 ㅡㅡ애미야 국이 심심하구나 "
"334","엑시트","10","왜 이제서야 봤을까 너무 후회했다ㅠㅠ 정말 쫄깃쫄깃하고 현실성 있는 스토리까지 여러모로 감동적이였습니다 "
"335","다만 악에서 구하소서","7","한국 영화에서 볼수 없었던 신선한 액션 청불이었음 더 좋았을듯 "
"336","다만 악에서 구하소서","1","역대급 OOO기ㅣㅣㅣㅣ "
"337","다만 악에서 구하소서","10","황정민은 엘레베이터 싸움의1인자다 "
"338","반도","6","부산행 보다는 못하지만 포스트 아포칼립스적인 비쥬얼과 액션은 볼만했습니다. 좀비 시대에 좀비보다 더 무서운 존재는 오히려 살아남은 인간들끼리의 분열과 증오라는 점도 나름 신선했고요. 다만 아역들의 약간 닭살 대사와 마지막 신파극은 좀 아쉽네요. "
"339","다만 악에서 구하소서","8","최근 개봉한 한국영화중 젤 낫네.. "
"340","다만 악에서 구하소서","2","차라리 깔끔하게 또라이 두명의 추격영화로만 만들어도 괜찮았을텐데 영화 후반부터 같잖은 부성애 장면 나올때마다 맥 끊기고 너무 한숨나옴.. 스토리도 엉성하고 액션만 볼만함 "
"341","다만 악에서 구하소서","10","걍 존나재밌다 진짜봐라 영알못들 "
"342","다만 악에서 구하소서","10","황정민 이정재 박정민 연기는 깔게없음 "
"343","다만 악에서 구하소서","10","황정민, 이정재 배우는 믿고보는 최고의 배우지만 박정민 배우의 여장 연기는 정말 최고네요. 다시 보게 됐습니다. 정말 짱짱짱 "
"344","다만 악에서 구하소서","10","황정민이정재캐미굿굿!!! 리얼 감정몰입도 굿!!끝까지 지루함없는 완벽한 연출과 연기 독보적인 비주얼 이정재님^^!!! "
"345","반도","6","생각을 엄청 많이 하고 볼 영화는 아닌 거 같고 그냥 시간 때우는 정도로 생각하시고 보시면 편하게 보실 수 있는 영화인거 같아요. 연기가 어색하거나 하는 부분은 없었던 것 같고... "
"346","다만 악에서 구하소서","10","재밌음 ㅠㅠㅠㅠ "
"347","다만 악에서 구하소서","2","연기, 연출 훌륭하다. 10점 만점에 9점이상.다만 스토리가.. 난 진짜 스토리가 너무 아쉽다. 어차피 액션영화니까 스토리가 약해도 화려한 볼거리만 있다면 어느정도 점수를 먹고 들어가는거 알겠는데.. 그래도 너무너무너무 아쉽다. "
"348","다만 악에서 구하소서","10",""
"349","다만 악에서 구하소서","6","전박적 스토리와 연계성은 그럭저럭 이었지만.다만. 이정재의 연기력과 캐릭터 매칭이 좋았고. 관상때처럼 포스  뿜뿜!.. 그리고 박정민의 연기력 개인정하게된 영화..개인적으로 이 영화는  박정민에 의한 박정민을 위한 영화 ..박정민이 어떤 역할인지 알고 보면 잼 없을듯.. 극장앞에서 브루스윌리스가 귀신이래~를 듣고 식스센스 보는 느낌이랄까? "
"350","다만 악에서 구하소서","9","청불이 아닌게 아쉽다. "
"351","반도","10","기대하고 보면 재미없고 기대하지 말고 보면 킬링 타임용으로 적절함. 너무 머라하지 마세요 재밌음 "
"352","장화홍련전","6","누명을 쒸워 죽는게 너무 이상해  해명은 없는거야 "
"353","클래식","10","인생영화..아름다운 스토리와 아름다운 음악 그리고 조승우와 손예진의 연기력. 이기우의 코믹연기도 중간중간 좋았다. 로맨틱 그자체 조인성은 그냥 비맞는 씬으로 다했음 "
"354","강철비2: 정상회담","8","남북미 현재 상황에 일본,중국까지 5개국이 처한 상황을 실제 있을법한 일의 영화적인 해석을 더해 충분히 공감할수 있는 내용이었음.. 뭐 국뽕영화라고 하는데 국뽕보다는 현재 대한민국이 처한 상황을 직설적으로 늘어놨다도 보는것이... "
"355","강철비2: 정상회담","10","억지스런 유머코드가 좀 거슬리긴 했지만 끝나고 나오면서 많은 생각을 하게함.메세지도 뚜렷. 재미있었음.마스크쓰고 간만에 볼 가치있었음. "
"356","다만 악에서 구하소서","7","연기+액션+영상미는 정말 좋았지만 갑자기 억지감동 모먼트에 흐름깨지고 개연성도 잘.. "
"357","강철비2: 정상회담","8","난 나름 기대 안하고 밨다가 재밋게 보고 왔습니다. "
"358","다만 악에서 구하소서","10","재밌습니다 최근에나온 한국영화중 최고인듯 >3< "
"359","강철비2: 정상회담","4","편보다 무지 재미없음 "
"360","다만 악에서 구하소서","8","진짜 연기력이 다 했다 인력낭비 느낌 약간있지만 연기력 와 황정민, 이정재는 두말하면 입아픈데 빅정민 배우가 진심 연기 잘하는줄은 원래 알았지만 더더더더 놀람 스토리가 약간 뻔하고 노잼이지만 보라고 추천은 해주고싶은 영화 "
"361","강철비2: 정상회담","9","아이고 선동의 대가들 아니시랄까봐 선동들 열심히 하고 계시구나 영상미는 잠수함씬은한국영화 역대급이었는데 "
"362","푸시","6",""
"363","다만 악에서 구하소서","10","역시 황정민과 이정재 연기 합은 최고입니다. feat. 박정민 연기는 최고입니다. "
"364","다만 악에서 구하소서","10","황정민 액션장인 잼나다봐라 "
"365","베이비 데이 아웃","8","나보다 엄마가 더 좋아하던 영화 아기가 너무 귀엽다 "
"366","강철비2: 정상회담","8",""
"367","#살아있다","8","일단 유아인 연기 땜에 8점이에여..그리고 여자분 연기도 짱이고 마지막에 헬기 너무 띠용 이지만 너무 대충 빨리 넘어가는 느낌이였어여..그래도 재밌게는 봤어여!!..11000원이라는게 조금 아깝지만여ㅜㅎㅎ "
"368","반도","10","배우님들..연기 레전드에요ㅠㅠㅠ 그리고 저 평점 첨 남겨보는데 연기 진짜 대박이고 슬프고 무섭고 진짜 무서웠아유ㅠㅠㅠ글고 재밌었어요ㅜㅜ "
"369","다만 악에서 구하소서","4","개인적으론,,, 재미는 없고,,,, 연기력은 좋은,,,뭐 그냥 저냥 그런 영화 "
"370","다만 악에서 구하소서","10","최근에 본 영화중 최고인듯 "
"371","다만 악에서 구하소서","6","꽤나 잔인하던데 15세라니... 아이가 나오는 장면은 내내 불편했어요ㅠㅠ 너무 감정 이입이 됐나봐요 ㅠ 애기 트라우마 어쩔... 그리고 트젠은 무슨 죄... 결국 아이의 엄마도 되고 아빠도 되는 건가요..? 흑흑 너무 사이다가 없어서 별점 낮게 줌 ㅠㅠ "
"372","반도","5","연상호 '염력' + 강동원 '인랑' "
"373","다만 악에서 구하소서","10","스토리가 좀 개연성이 떨어지나 최근 본 한국작품중 제일 지루하지 않았어요~~~~킬링타임용으로 추천~! "
"374","타이타닉 2","1",".22를 위하여 이 글을 남깁니다 "
"375","다만 악에서 구하소서","6","0년만에 개봉한 짭저씨를 보는 느낌 "
"376","강철비2: 정상회담","7","바다 속에서 마주한 한반도 정세 "
"377","다만 악에서 구하소서","6","박정민씨를 다시 보게 된 영화스토리는 해바라기+아저씨(feat. 신세계) 인것 같아 몰입이 많이 되진 않았어요.뭔가 아쉬움이 많이 남는영화에요. "
"378","다만 악에서 구하소서","7","어차피 이렇게 될 줄 알았어도 재미있다. "
"379","다만 악에서 구하소서","8","재밌게 보긴 함. 액션과 연출, 빠른 속도감, 시원시원한 전개는 일품이지만 그 외의 것들은 좀 아쉬움. 극 초반 레이라는 이름 등장할 때부터 분위기 깨질 뻔 했음 + 진부한 스토리 + 주인공 둘의 결말은 깔끔하나, 그 외 인물의 스토리 매듭짓기는 애매.. "
"380","강철비2: 정상회담","10","배우들의 세심한연기  좋았어요~대통령님이 너무 잘생겼어요 "
"381","다만 악에서 구하소서","9","기도하는 심정으로 영화 보기 오랫만... 이거 애들이 보기엔 좀 잔인할텐데 ㅠㅠ "
"382","인셉션","10",""
"383","다만 악에서 구하소서","10","평론 믿지말고 보세요.  신세계 느낌도 나고 잘 만들어진 영화고 재밌습니다.    적당한 생략, 적당한 스피드..   억지 액션도 없고 캐릭터 나름 마다의 이유도 있고.. "
"384","다만 악에서 구하소서","4","진지하게... 4점짜리 영화입니다.아쉬움이 많은 영화네요.연기 잘합니다.근데... 스토리 무재미샷이 불편합니다.뻔한 스토리아마 우리늬 눈도 높아 졌을거라 생각합니다.옛날에 이렇게 만들었다면 재밌었겠지만,지금 시대에는 아닙니다. "
"385","남산의 부장들","1",""
"386","다만 악에서 구하소서","7","박정민 말투가 광희 닮음.. 요즘 나오는 영화들이 다 임팩트가 부족하네.. "
"387","정도","10","영화 보는중에 너무 닮아서 중지하고 검색하게 만든영화놀랍네요 연기도 잘하고 내용도 잘만들어지고 눈물도 나게하고잘봤어요 "
"388","빅쇼트","8",""
"389","다만 악에서 구하소서","8","미친놈과 더 미친놈의 만남 "
"390","다만 악에서 구하소서","10","지리네요 최근 본 한국영화 중에는 탑입니다. 보세요. 두번보세요. "
